Datum;Morgen Kommen;Morgen Gehen;Mittag Kommen;Abend Gehen;Arbeitszeit;Sollzeit;Differenz;Feiertag
Mi 01.01.2025;;;;;00:00;08:24;08:24 Fehl;
Do 02.01.2025;;;;;00:00;00:00;00:00 ;Berchtoldstag (bezahlt)
Fr 03.01.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 04.01.2025;;;;;00:00;00:00;00:00 ;
So 05.01.2025;;;;;00:00;00:00;00:00 ;
Mo 06.01.2025;;;;;00:00;08:24;08:24 Fehl;
Di 07.01.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 08.01.2025;;;;;00:00;08:24;08:24 Fehl;
Do 09.01.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 10.01.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 11.01.2025;;;;;00:00;00:00;00:00 ;
So 12.01.2025;;;;;00:00;00:00;00:00 ;
Mo 13.01.2025;;;;;00:00;08:24;08:24 Fehl;
Di 14.01.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 15.01.2025;;;;;00:00;08:24;08:24 Fehl;
Do 16.01.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 17.01.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 18.01.2025;;;;;00:00;00:00;00:00 ;
So 19.01.2025;;;;;00:00;00:00;00:00 ;
Mo 20.01.2025;;;;;00:00;08:24;08:24 Fehl;
Di 21.01.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 22.01.2025;;;;;00:00;08:24;08:24 Fehl;
Do 23.01.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 24.01.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 25.01.2025;;;;;00:00;00:00;00:00 ;
So 26.01.2025;;;;;00:00;00:00;00:00 ;
Mo 27.01.2025;;;;;00:00;08:24;08:24 Fehl;
Di 28.01.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 29.01.2025;;;;;00:00;08:24;08:24 Fehl;
Do 30.01.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 31.01.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 01.02.2025;;;;;00:00;00:00;00:00 ;
So 02.02.2025;;;;;00:00;00:00;00:00 ;
Mo 03.02.2025;;;;;00:00;08:24;08:24 Fehl;
Di 04.02.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 05.02.2025;;;;;00:00;08:24;08:24 Fehl;
Do 06.02.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 07.02.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 08.02.2025;;;;;00:00;00:00;00:00 ;
So 09.02.2025;;;;;00:00;00:00;00:00 ;
Mo 10.02.2025;;;;;00:00;08:24;08:24 Fehl;
